rows=true labels, columns=predicted labels
true\pred     0     1     2     3     4     5     6     7     8     9
        0    83     0     0     0     0     0     2     0     0     0
        1     0   125     1     0     0     0     0     0     0     0
        2     1     1   106     0     0     0     1     3     4     0
        3     1     3     3    71     1    20     1     3     2     2
        4     0     0     1     0   103     0     2     0     1     3
        5     0     0     0     0     3    80     2     0     1     1
        6     3     0     0     0     2     2    80     0     0     0
        7     0     3     4     0     1     1     0    85     2     3
        8     4     0     0     1     2     2     0     0    78     2
        9     0     2     0     1    12     1     0     3     2    73
