rows=true labels, columns=predicted labels
true\pred     0     1     2     3     4     5     6     7     8     9
        0    84     0     0     0     0     0     1     0     0     0
        1     0   116     5     3     0     1     0     1     0     0
        2     1     0   107     2     0     1     0     2     3     0
        3     1     0    11    73     0    15     0     5     2     0
        4     1     1     5     0    88     0     1     3     5     6
        5     3     0     4     1     1    73     0     0     4     1
        6     5     0    33     0     3     8    35     0     3     0
        7     0     1    10     2     0     0     0    82     0     4
        8     1     0     5     4     2     5     0     1    71     0
        9     0     1     3     1     3     1     0    12     4    69
