rows=true labels, columns=predicted labels
true\pred     0     1     2     3     4     5     6     7     8     9
        0    83     0     0     0     0     0     2     0     0     0
        1     0   125     0     0     0     0     1     0     0     0
        2     2     1   105     1     1     0     1     2     3     0
        3     0     1     2    88     0     6     1     1     6     2
        4     1     0     0     0   103     0     2     0     0     4
        5     0     0     0     3     1    74     1     1     5     2
        6     3     0     0     0     2     0    82     0     0     0
        7     0     2     3     0     3     0     0    86     1     4
        8     0     0     0     3     2     0     0     0    84     0
        9     0     0     0     0     7     0     0     1     5    81
